0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Sample no
64.459999,50.16,53.199997,55.84,44.32,54.899998,52.579998,56.32,57.919998,46.639999,29.619999,18.459999,18.1,14.48,12,8.86,6.26,3.62,3.62,8.86,14.02,14.48,15.78,14.92,16.18,23.74,8.86,20.459999,14.02,24.279999,11.44,14.48,17.359999,14.92,10.219999,10.219999,7.24,12,10.219999,15.78,6.26,0,7.24,6.26,0,0,0,0,0,0,3.62,0,3.62,3.62,5.1,5.1,5.1,3.62,3.62,0,3.62,0,3.62,0,1
66.159996,80.939995,73.580002,81.419998,96.040001,93.419998,100.259995,68.860001,54.18,34.899998,26.099998,26.34,26.099998,24.539999,23.18,18.799999,15.339999,13.04,11.44,10.219999,10.219999,8.86,8.08,7.24,9.559999,8.86,3.62,0,3.62,7.24,9.559999,10.86,11.44,11.44,11.44,12,13.54,15.78,15.339999,11.44,10.219999,7.24,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42.200001,38.48,40.459999,44.619999,47.739998,34.719997,30.5,25.08,26.599998,18.799999,14.92,12.54,12,12,14.02,14.92,14.92,15.78,15.339999,14.02,13.54,13.04,7.24,5.1,7.24,7.24,6.26,7.24,8.86,7.24,0,0,3.62,3.62,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,3.62,3.62,5.1,0,3.62,0,0,0,3.62,3.62,0,0,0,0,3
73.919998,68.979996,68.860001,71.400002,48.559998,47.34,37.259998,31.559999,24.539999,15.78,15.78,19.82,18.459999,19.139999,16.98,15.339999,14.02,12,10.219999,8.08,7.24,8.08,7.24,6.26,5.1,3.62,3.62,3.62,0,0,0,0,3.62,6.26,5.1,6.26,6.26,7.24,7.24,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
107.199997,99.400002,126.079994,121.68,159.019989,153.800003,176.23999,170.339996,126.5,89.400002,85.439995,55.139999,36.559998,28.5,20.459999,19.139999,19.82,18.459999,16.18,10.219999,7.24,6.26,5.1,0,0,5.1,3.62,0,0,0,0,0,0,0,3.62,5.1,6.26,8.86,10.219999,10.219999,11.44,12,13.04,14.02,12.54,12,12,11.44,10.86,10.219999,9.559999,9.559999,8.08,6.26,7.24,9.559999,9.559999,8.86,8.08,8.08,8.08,8.08,8.08,7.24,5
76.279999,86.939995,86.879997,93.779999,110.459999,108.599998,81.82,77.720001,91.299995,80.220001,65.459999,60.02,49.5,34.34,22.02,22.879999,21.1,21.719999,18.799999,19.48,16.18,13.04,10.219999,5.1,6.26,8.08,0,0,3.62,6.26,6.26,6.26,3.62,3.62,0,0,0,0,0,3.62,3.62,6.26,7.24,8.86,5.1,5.1,5.1,5.1,3.62,6.26,7.24,7.24,7.24,7.24,6.26,7.24,6.26,5.1,3.62,5.1,6.26,3.62,3.62,5.1,6
57.919998,61,66.939995,66.059998,78.299995,87.479996,97.68,82.540001,90.779999,86.259995,64.959999,60.459999,56.66,50.939999,52.699997,26.099998,24,21.4,16.98,16.18,13.54,12,9.559999,0,0,0,0,0,6.26,6.26,9.559999,3.62,0,3.62,7.24,6.26,5.1,0,3.62,7.24,0,0,0,3.62,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,7
78.400002,78.059998,79.239998,87.779999,85.580002,72.040001,64.139999,73.919998,86.639999,94.879997,72.400002,60.239998,58.599998,44.919998,30.059999,27.08,23.18,17.719999,15.339999,14.48,10.219999,8.86,0,0,3.62,6.26,0,3.62,8.86,9.559999,8.08,6.26,5.1,3.62,6.26,5.1,3.62,0,0,3.62,5.1,6.26,7.24,8.08,8.86,9.559999,10.219999,10.219999,10.219999,9.559999,7.24,7.24,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,0,8
106.399994,118.639999,110.220001,88.659996,78.239998,120.439995,114.119995,36.200001,30.279999,31.76,27.08,25.84,19.48,14.92,12,8.08,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,5.1,6.26,5.1,5.1,5.1,5.1,7.24,7.24,8.08,8.08,9.559999,11.44,10.86,8.86,8.08,6.26,6.26,6.26,8.08,7.24,8.08,8.86,7.24,8.86,9.559999,8.08,7.24,5.1,3.62,3.62,3.62,0,0,9
79.139999,80.040001,93.559998,90.639999,116.699997,148.73999,102.639999,130.080002,121.579994,105.540001,109.979996,97.059998,81.040001,63.619999,31.76,31.139999,26.599998,23.74,20.779999,20.139999,18.1,15.339999,10.86,8.08,5.1,3.62,0,0,3.62,3.62,3.62,3.62,0,5.1,0,0,0,0,0,0,0,3.62,0,5.1,3.62,6.26,3.62,7.24,8.86,8.86,10.219999,11.44,10.219999,10.86,8.86,7.24,5.1,5.1,3.62,9.559999,10.86,8.08,3.62,0,10
67.82,73.400002,75.68,83.019997,68.019997,67.439995,81.5,70.739998,61.959999,48.84,55.959999,30.699999,22.6,22.299999,20.459999,22.6,19.139999,20.779999,17.719999,14.48,12,10.219999,8.86,7.24,5.1,3.62,3.62,3.62,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,6.26,7.24,6.26,6.26,7.24,6.26,7.24,7.24,6.26,5.1,6.26,5.1,6.26,6.26,0,0,3.62,11
68.599998,62.379997,69.919998,80.040001,87.32,101.739998,62.279999,79.639999,73.919998,64.139999,53.439999,50.68,36.739998,31.959999,24.82,22.6,17.719999,18.459999,18.459999,20.459999,17.719999,17.719999,15.339999,12,9.559999,8.08,6.26,7.24,8.86,8.08,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,5.1,5.1,5.1,3.62,5.1,6.26,7.24,6.26,3.62,0,3.62,3.62,5.1,6.26,6.26,5.1,3.62,3.62,3.62,3.62,12
56.779999,48.700001,48.84,57.919998,61.219997,61.419998,64.360001,51.199997,65.760002,52.579998,50.68,45.34,55.84,48.559998,21.4,23.459999,25.84,20.139999,15.78,14.02,13.54,10.86,10.86,10.86,10.86,10.219999,8.08,7.24,3.62,0,0,5.1,7.24,6.26,6.26,7.24,8.08,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,3.62,0,0,0,0,0,0,3.62,3.62,13
84.199997,107.079994,124.360001,131.759995,158.839996,139.5,182.220001,154.179993,135.459991,114.299995,92.799995,103.860001,69.82,47.619999,15.78,25.08,28.039999,23.18,18.1,14.48,14.02,8.86,6.26,5.1,5.1,0,0,0,0,0,7.24,8.08,7.24,8.08,8.86,8.08,7.24,5.1,8.86,9.559999,10.86,8.86,8.08,7.24,8.08,9.559999,8.08,10.86,13.54,13.54,11.44,8.86,7.24,5.1,5.1,3.62,3.62,0,3.62,3.62,0,0,0,0,14
69.720001,124.879997,110.459999,147.23999,145.199997,152.039993,155.779999,142.520004,121.32,104.299995,78.299995,64.959999,34.52,25.34,21.719999,20.139999,19.82,18.1,14.48,9.559999,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,5.1,7.24,9.559999,10.86,9.559999,11.44,10.86,8.86,11.44,13.04,14.02,13.54,12,12,12,11.44,10.219999,10.219999,10.219999,8.86,7.24,7.24,6.26,5.1,5.1,15
130.179993,146.440002,163.220001,183.779999,184.919998,183.059998,178.179993,160.440002,150.479996,153.679993,115.099998,103.860001,50.419998,36.559998,21.4,24,18.459999,18.459999,18.1,16.18,13.54,10.219999,5.1,0,0,0,0,0,0,0,0,3.62,0,0,7.24,11.44,13.04,14.92,17.359999,20.459999,24.279999,28.5,26.84,23.74,21.4,18.1,15.339999,14.92,13.04,12.54,11.44,9.559999,8.86,9.559999,10.219999,10.219999,8.86,8.08,7.24,5.1,3.62,0,0,3.62,16
228.539993,253.119995,268.799988,233.019989,196.919998,209.080002,217.799988,113.5,78.979996,51.32,42.68,29.619999,14.48,10.86,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,8.08,14.48,20.459999,24.539999,28.26,31.34,33.18,34.52,34.719997,33.959999,32.98,31.559999,29.84,28.26,26.599998,25.08,23.18,21.719999,20.139999,18.799999,17.359999,16.18,14.92,13.54,12.54,11.44,10.219999,9.559999,8.08,7.24,6.26,5.1,5.1,3.62,17
149.720001,92.939995,46.779999,35.279999,28.5,24.82,25.08,20.779999,18.1,16.58,16.18,15.78,14.48,13.54,12,8.08,3.62,0,5.1,9.559999,9.559999,8.08,8.86,10.86,14.02,16.58,18.459999,20.139999,22.02,22.879999,22.879999,22.02,20.459999,18.799999,16.98,15.78,14.92,13.04,11.44,10.219999,8.08,6.26,6.26,5.1,5.1,5.1,5.1,5.1,5.1,5.1,6.26,6.26,6.26,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,18
106.579994,121.439995,134.779999,170.899994,183.979996,207.699997,208.799988,205.799988,196.559998,191.659988,238.399994,234.159988,226.139999,251.179993,190.899994,197.259995,112.699997,62.18,50.68,47.879997,48.16,38.82,31.959999,24.279999,16.58,10.86,6.26,0,0,0,0,3.62,13.04,0,0,0,0,3.62,6.26,8.86,12.54,16.58,18.459999,17.719999,20.459999,22.6,22.02,23.18,22.02,22.02,22.02,24.279999,25.34,22.879999,22.02,23.18,22.879999,23.18,21.4,18.799999,19.139999,19.48,18.459999,15.339999,19
41.579998,54.66,65.860001,71.299995,64.239998,66.659996,77.879997,110.619995,125.759995,102.899994,94.82,86.799995,87.019997,85.040001,62.279999,34.139999,36.200001,29.179998,24,18.459999,16.18,10.86,3.62,0,8.08,8.08,9.559999,8.08,3.62,3.62,3.62,0,0,0,0,0,3.62,0,0,3.62,3.62,0,0,0,0,0,0,0,0,5.1,5.1,7.24,6.26,3.62,3.62,9.559999,11.44,11.44,14.02,14.02,16.58,15.78,14.92,15.339999,20
174.599991,150.179993,203.580002,195.87999,158.479996,170.220001,160,155.979996,174.479996,191.839996,176.199997,171.23999,133.199997,90.5,37.079998,38.98,34.52,31.959999,22.02,12.54,5.1,0,3.62,5.1,10.86,11.44,14.48,12,10.219999,7.24,5.1,3.62,5.1,5.1,6.26,7.24,8.86,10.86,9.559999,10.219999,14.02,16.58,18.1,18.799999,19.82,20.139999,20.779999,21.4,21.719999,20.779999,18.799999,19.82,19.48,18.799999,20.139999,20.459999,20.459999,20.139999,19.82,19.139999,17.719999,16.18,15.339999,14.02,21
167.479996,199.119995,199.720001,211.639999,212.899994,203.339996,191.279999,173.039993,194.860001,236.759995,203.899994,189.619995,183.839996,173.23999,165.419998,151.139999,99.019997,60.899998,43.879997,36.02,30.92,23.74,18.799999,13.04,6.26,0,0,5.1,10.219999,11.44,9.559999,7.24,3.62,0,0,0,0,3.62,3.62,0,0,0,3.62,6.26,11.44,17.359999,22.879999,28.26,31.559999,31.34,30.279999,29.179998,28.719999,27.799999,26.84,25.34,23.459999,21.4,19.48,17.719999,16.18,14.02,11.44,9.559999,22
163.940002,174.479996,182.519989,203.300003,210.059998,199.419998,179.300003,202.279999,217.039993,198.099991,188.73999,225.919998,214.299988,192.599991,180.179993,110.040001,77.479996,64.040001,47.619999,40.459999,28.719999,23.459999,13.54,5.1,0,5.1,8.86,10.219999,10.86,10.86,8.86,7.24,8.86,7.24,0,0,0,5.1,10.219999,13.54,15.78,16.18,17.359999,21.1,24.539999,27.559999,29.4,30.699999,32.779999,32.98,32.779999,33.759998,30.699999,27.799999,25.08,21.4,19.48,19.48,17.359999,16.58,12,11.44,10.219999,8.08,23
109.079994,125.139999,123.18,140.399994,145.759995,156.37999,141.5,158.37999,199.080002,156.279999,141.5,143.399994,120.759995,132.660004,131.520004,90.419998,55.959999,47.739998,39.32,36.200001,31.76,24.279999,17.359999,12.54,3.62,0,0,3.62,7.24,10.219999,13.54,14.48,14.48,14.48,14.92,16.18,18.1,16.58,17.359999,16.98,17.719999,19.139999,15.78,14.92,14.02,12,12.54,12,10.86,9.559999,10.219999,8.86,6.26,3.62,3.62,3.62,3.62,5.1,3.62,5.1,5.1,3.62,6.26,5.1,24
164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,164.139999,25
