0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,sample
26.34,50.799999,61.099998,57.239998,37.079998,11.44,10.86,10.219999,9.559999,47.619999,93,121.099998,102.899994,70.839996,44.919998,32.98,26.599998,22.02,22.6,21.4,17.719999,12.54,16.98,21.719999,19.139999,13.04,154.440002,131.059998,77.720001,27.32,54.299999,54.899998,49.099998,37.439999,35.82,38.639999,48.419998,37.959999,16.58,22.02,19.139999,19.48,12.54,14.48,14.02,9.559999,11.44,10.219999,8.08,10.86,9.559999,11.44,13.04,12.54,8.86,14.02,11.44,10.86,12,11.44,15.78,13.04,10.86,16.98,1
28.039999,32.18,26.84,21.719999,7.24,9.559999,7.24,8.86,11.44,10.219999,5.1,0,23.18,109.019997,46.360001,30.059999,12,16.98,21.4,21.4,24.279999,24,31.559999,19.48,21.1,15.339999,17.359999,17.359999,18.799999,17.359999,17.359999,17.359999,16.58,14.02,14.02,13.54,13.54,12.54,15.339999,12,16.18,6.26,10.219999,10.219999,8.86,6.26,6.26,3.62,5.1,5.1,9.559999,7.24,7.24,9.559999,8.08,6.26,5.1,6.26,5.1,0,0,0,0,0,2
40.779999,20.459999,13.54,8.08,16.58,17.719999,15.339999,24,18.1,10.86,10.86,10.86,12.54,14.92,18.799999,17.359999,20.139999,16.98,18.1,15.339999,13.54,13.04,12.54,10.219999,9.559999,11.44,11.44,10.86,8.86,5.1,0,0,5.1,9.559999,14.02,16.98,19.139999,20.139999,20.459999,20.459999,19.82,19.139999,18.1,17.359999,16.58,15.78,14.48,14.02,13.04,12,11.44,10.219999,9.559999,8.86,8.08,7.24,7.24,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3
25.84,33.18,31.559999,36.919998,49.639999,5.1,12.54,20.779999,18.799999,15.78,19.48,17.359999,17.359999,14.92,13.54,12,11.44,7.24,8.86,9.559999,5.1,6.26,3.62,0,3.62,3.62,0,0,3.62,3.62,5.1,5.1,3.62,3.62,3.62,0,3.62,3.62,3.62,5.1,3.62,3.62,3.62,3.62,5.1,6.26,7.24,8.08,8.08,8.08,8.86,13.04,16.18,15.339999,11.44,6.26,0,0,0,0,0,0,0,0,4
22.299999,25.599998,26.34,19.82,14.92,14.02,11.44,8.08,7.24,37.619999,53.82,41.099998,44.040001,37.959999,32.380001,25.08,16.98,17.359999,6.26,7.24,37.959999,24.82,19.139999,6.26,5.1,13.04,27.08,58.699997,31.959999,11.44,11.44,3.62,5.1,3.62,5.1,8.86,20.139999,25.599998,22.02,14.02,6.26,0,6.26,11.44,14.92,16.58,16.18,15.78,15.339999,14.02,13.54,12,12.54,12.54,11.44,8.86,8.86,9.559999,8.86,8.08,5.1,3.62,0,0,5
42.52,45.779999,43.439999,39.98,33.759998,23.459999,25.34,20.139999,12,14.48,13.04,51.439999,37.079998,23.18,5.1,5.1,9.559999,33.360001,22.02,7.24,3.62,8.08,0,5.1,9.559999,12.54,14.92,20.459999,16.58,11.44,8.86,7.24,6.26,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,6.26,7.24,8.08,8.86,6
30.699999,12.54,5.1,14.02,19.139999,19.139999,24.279999,31.559999,32.18,17.359999,14.92,5.1,8.86,7.24,13.54,7.24,19.139999,6.26,14.92,13.04,10.219999,7.24,8.08,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,5.1,7.24,8.86,8.08,7.24,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,3.62,3.62,0,3.62,5.1,6.26,7
30.5,28.26,8.86,9.559999,0,0,5.1,12.54,10.219999,11.44,12,8.08,6.26,3.62,3.62,5.1,5.1,3.62,5.1,5.1,6.26,6.26,5.1,6.26,8.86,6.26,6.26,3.62,3.62,5.1,5.1,0,0,0,3.62,3.62,0,3.62,0,0,0,0,0,0,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,3.62,6.26,8.08,8.86,9.559999,10.219999,10.86,11.44,12,8
32.779999,36.380001,30.059999,10.86,9.559999,16.58,19.139999,13.04,14.02,15.339999,9.559999,9.559999,9.559999,7.24,10.86,9.559999,9.559999,6.26,3.62,3.62,5.1,0,0,3.62,0,0,0,3.62,0,0,0,0,3.62,0,3.62,3.62,0,0,0,0,3.62,5.1,7.24,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.86,8.08,8.08,8.08,7.24,7.24,6.26,6.26,6.26,5.1,5.1,9
22.299999,35.099998,35.82,29.4,24.279999,12,7.24,5.1,8.86,8.08,9.559999,10.219999,12.54,8.08,7.24,8.08,3.62,0,0,0,3.62,0,3.62,3.62,3.62,6.26,5.1,5.1,5.1,6.26,5.1,5.1,6.26,6.26,3.62,3.62,3.62,0,3.62,3.62,3.62,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,3.62,5.1,5.1,5.1,5.1,5.1,5.1,3.62,10
27.08,32.18,28.719999,22.02,8.08,20.459999,14.02,20.139999,24.539999,23.74,17.359999,14.02,10.86,8.86,6.26,5.1,5.1,5.1,3.62,0,0,0,3.62,6.26,8.08,8.86,10.219999,10.86,11.44,12,12,12.54,12,11.44,10.86,10.219999,9.559999,8.86,7.24,7.24,6.26,5.1,5.1,3.62,0,0,3.62,3.62,5.1,6.26,6.26,7.24,7.24,7.24,7.24,6.26,6.26,5.1,3.62,3.62,3.62,3.62,3.62,3.62,11
32.779999,23.74,11.44,5.1,8.08,12,20.779999,47.200001,42.52,39.32,32.380001,28.26,18.459999,9.559999,8.86,8.86,5.1,9.559999,14.48,0,0,0,0,3.62,62.899998,54.66,46.919998,54.299999,42.82,27.799999,18.459999,8.86,9.559999,22.879999,25.599998,21.4,13.04,21.4,25.84,19.48,10.86,8.08,3.62,3.62,5.1,0,3.62,3.62,5.1,3.62,5.1,5.1,3.62,7.24,6.26,6.26,0,7.24,3.62,5.1,3.62,3.62,3.62,6.26,12
45.34,27.799999,17.719999,12,26.099998,16.58,12,11.44,14.48,23.459999,24,25.84,35.639999,19.139999,14.48,11.44,15.339999,16.98,14.48,13.04,16.98,14.02,12.54,13.04,8.86,8.08,9.559999,7.24,9.559999,7.24,7.24,8.08,6.26,3.62,3.62,3.62,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,3.62,5.1,5.1,5.1,5.1,13
23.74,12.54,13.54,18.799999,14.92,25.08,17.719999,16.18,12,13.54,13.04,12,10.86,9.559999,6.26,9.559999,7.24,5.1,6.26,6.26,5.1,5.1,5.1,0,0,0,3.62,0,5.1,8.86,9.559999,6.26,8.86,7.24,8.08,9.559999,5.1,6.26,8.86,9.559999,8.86,7.24,9.559999,3.62,3.62,8.08,7.24,8.86,9.559999,6.26,3.62,5.1,6.26,6.26,7.24,3.62,3.62,0,0,3.62,0,0,0,0,14
23.74,12.54,7.24,8.08,5.1,5.1,10.219999,12.54,14.02,18.459999,15.78,12.54,8.08,9.559999,12.54,15.78,18.1,16.18,18.459999,15.78,13.04,13.04,12,10.219999,7.24,6.26,6.26,3.62,3.62,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,5.1,3.62,0,0,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,0,0,0,5.1,5.1,15
23.459999,25.599998,21.719999,18.1,9.559999,5.1,0,0,8.08,25.08,48.700001,50.68,44.040001,34.899998,26.599998,25.84,20.459999,13.54,11.44,15.78,10.219999,22.02,6.26,12.54,9.559999,7.24,6.26,71.299995,45.059998,15.339999,6.26,8.08,10.86,3.62,22.299999,13.54,6.26,13.04,11.44,8.08,12.54,13.04,12.54,13.54,14.48,14.48,14.48,15.78,14.92,14.48,14.02,13.54,14.92,11.44,8.08,6.26,6.26,6.26,0,0,0,0,3.62,0,16
33.360001,40.939999,37.799999,31.76,28.039999,21.719999,22.879999,14.02,13.54,5.1,6.26,13.04,14.02,16.98,3.62,11.44,17.359999,56.439999,10.219999,6.26,8.08,0,6.26,0,8.86,13.54,8.86,5.1,11.44,8.86,7.24,7.24,10.219999,12,13.54,13.04,12,9.559999,8.86,6.26,3.62,0,3.62,6.26,9.559999,11.44,13.04,14.48,14.92,15.339999,15.339999,14.92,14.48,14.02,13.04,12,11.44,10.219999,8.86,8.08,7.24,6.26,5.1,5.1,17
24.539999,26.34,22.299999,17.719999,8.08,9.559999,6.26,11.44,8.08,6.26,0,10.219999,60.139999,17.359999,9.559999,24,15.339999,7.24,12,10.86,26.599998,22.879999,8.86,12.54,9.559999,8.86,8.08,9.559999,10.86,11.44,10.86,11.44,9.559999,7.24,7.24,6.26,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
42.52,47.48,44.779999,40.459999,34.139999,25.34,25.599998,18.459999,13.04,13.54,8.86,5.1,8.08,16.98,16.98,8.08,0,16.58,20.779999,24.279999,16.98,10.86,7.24,8.08,15.78,16.18,18.799999,12,14.48,15.339999,14.48,15.339999,14.48,11.44,9.559999,8.08,7.24,6.26,3.62,3.62,3.62,5.1,6.26,6.26,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,6.26,6.26,5.1,0,19
22.879999,49.899998,48.02,48.02,39.139999,32.18,24.539999,19.48,13.04,7.24,13.04,3.62,0,0,0,0,46.919998,161.779999,59.359997,17.359999,27.799999,12,14.48,21.1,20.459999,25.84,36.02,8.08,18.1,16.58,17.359999,14.92,14.92,16.98,12.54,12,10.86,8.86,11.44,7.24,8.08,5.1,6.26,5.1,0,0,0,0,0,3.62,0,0,3.62,7.24,6.26,8.08,7.24,7.24,7.24,5.1,6.26,6.26,6.26,8.08,20
33.759998,57.239998,57.459999,52.459999,47.059998,34.34,26.34,17.359999,14.92,13.54,12,3.62,34.34,27.08,18.459999,6.26,0,8.08,17.359999,26.599998,12.54,0,0,0,3.62,6.26,12,12.54,14.92,12,11.44,10.86,10.86,12.54,12.54,14.02,14.02,12,10.86,10.219999,10.219999,13.04,15.78,16.18,14.02,11.44,8.86,5.1,0,0,0,0,0,0,0,0,0,5.1,7.24,8.86,10.86,12,12,12.54,21
41.259998,54.539997,54.419998,48.16,40.939999,31.139999,27.08,20.139999,12.54,13.54,9.559999,8.86,12,12,3.62,8.08,16.18,22.879999,87.619995,17.719999,17.719999,23.18,7.24,6.26,9.559999,13.54,6.26,12.54,20.139999,0,8.86,11.44,11.44,10.219999,12,9.559999,10.219999,8.08,6.26,6.26,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,0,22
21.1,24.82,22.299999,13.04,5.1,3.62,5.1,6.26,9.559999,33.959999,39.82,38.299999,34.52,30.92,21.1,21.1,18.1,15.339999,16.98,8.08,9.559999,6.26,28.039999,31.76,16.18,3.62,3.62,12.54,25.599998,8.08,8.86,3.62,6.26,8.08,6.26,5.1,7.24,11.44,17.359999,13.54,14.48,12,9.559999,8.08,3.62,0,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,3.62,3.62,0,0,0,0,23
27.08,47.48,48.419998,48.700001,40.459999,41.739998,36.739998,27.08,20.459999,21.1,15.78,5.1,5.1,3.62,5.1,8.08,5.1,0,5.1,8.08,5.1,8.86,5.1,3.62,5.1,5.1,12.54,7.24,13.54,15.78,16.18,15.78,10.219999,11.44,10.219999,8.08,8.08,8.86,5.1,5.1,5.1,3.62,3.62,3.62,5.1,5.1,5.1,3.62,5.1,0,5.1,0,0,5.1,3.62,6.26,5.1,0,0,0,0,0,0,0,24
39.32,31.959999,25.84,28.039999,23.18,13.54,13.04,6.26,8.86,3.62,5.1,6.26,12.54,13.54,7.24,0,8.86,90.339996,32.18,10.86,11.44,14.02,3.62,5.1,15.78,26.599998,30.92,13.54,12.54,12.54,15.78,16.58,16.18,19.82,14.48,18.1,14.48,14.02,12,13.04,12,9.559999,13.04,7.24,8.86,8.08,7.24,5.1,6.26,3.62,5.1,0,3.62,3.62,0,5.1,3.62,3.62,0,3.62,0,0,0,0,25
